Timestamp,Internet Status,CPU Temperature
2023-05-25T15:46:49 CEST,Up,+58.4°C
2023-05-25T15:47:49 CEST,Up,+57.0°C
2023-05-25T15:48:49 CEST,Up,+57.0°C
2023-05-25T15:49:49 CEST,Up,+57.9°C
2023-05-25T15:50:49 CEST,Up,+57.9°C
2023-05-25T15:51:49 CEST,Up,+57.5°C
2023-05-25T15:52:49 CEST,Up,+57.9°C
2023-05-25T15:53:49 CEST,Up,+57.9°C
2023-05-25T15:54:49 CEST,Up,+57.5°C
2023-05-25T15:55:49 CEST,Up,+57.5°C
2023-05-25T15:56:49 CEST,Up,+57.5°C
2023-05-25T15:57:49 CEST,Up,+57.9°C
2023-05-25T15:58:49 CEST,Up,+59.9°C
2023-05-25T15:59:50 CEST,Up,+57.9°C
2023-05-25T16:00:50 CEST,Up,+57.9°C
2023-05-25T16:01:50 CEST,Up,+58.4°C
2023-05-25T16:02:50 CEST,Up,+59.4°C
2023-05-25T16:03:50 CEST,Up,+58.4°C
2023-05-25T16:04:50 CEST,Up,+58.4°C
2023-05-25T16:05:50 CEST,Up,+60.9°C
2023-05-25T16:06:50 CEST,Up,+59.9°C
2023-05-25T16:07:50 CEST,Up,+60.4°C
2023-05-25T16:08:50 CEST,Up,+61.3°C
2023-05-25T16:09:50 CEST,Up,+60.9°C
2023-05-25T16:10:50 CEST,Up,+61.3°C
2023-05-25T16:11:50 CEST,Up,+61.3°C
2023-05-25T16:12:50 CEST,Up,+60.9°C
2023-05-25T16:13:50 CEST,Up,+61.8°C
2023-05-25T16:14:50 CEST,Up,+60.9°C
2023-05-25T16:15:50 CEST,Up,+61.3°C
2023-05-25T16:16:50 CEST,Up,+59.9°C
2023-05-25T16:17:50 CEST,Up,+61.8°C
2023-05-25T16:18:50 CEST,Up,+59.9°C
2023-05-25T16:19:50 CEST,Up,+60.4°C
2023-05-25T16:20:50 CEST,Up,+60.4°C
2023-05-25T16:21:50 CEST,Up,+59.4°C
2023-05-25T16:22:50 CEST,Up,+58.9°C
2023-05-25T16:23:50 CEST,Up,+58.9°C
2023-05-25T16:24:51 CEST,Up,+59.4°C
2023-05-25T16:25:51 CEST,Up,+58.4°C
2023-05-25T16:26:51 CEST,Up,+62.3°C
2023-05-25T16:27:51 CEST,Up,+60.9°C
2023-05-25T16:28:51 CEST,Up,+62.8°C
2023-05-25T16:29:51 CEST,Up,+64.3°C
2023-05-25T16:30:51 CEST,Up,+64.3°C
2023-05-25T16:31:51 CEST,Up,+67.7°C
2023-05-25T16:32:51 CEST,Up,+68.2°C
2023-05-25T16:33:51 CEST,Up,+62.8°C
2023-05-25T16:34:51 CEST,Up,+62.8°C
2023-05-25T16:35:51 CEST,Up,+63.3°C
2023-05-25T16:36:51 CEST,Up,+62.8°C
2023-05-25T16:37:51 CEST,Up,+63.3°C
2023-05-25T16:38:51 CEST,Up,+61.8°C
